Year,Site,Plot #,Genus,sapling_or_tree,dbh (cm),L/D,Height (m),Frag. Class (1-4),Decay Class (I-IV),Notes
2011,S,11.3,Hemlock,,35.5,L,9,,,
2011,S,11.1,Hemlock,,21.5,L,9.01,,,
2011,O,11.3,Hemlock,,18.0,L,9.1,,,
2011,S,11.3,Hemlock,,22.0,L,9.4,,,
2011,S,11.1,Hemlock,,29.2,L,9.625,,,
2020,old forest,20.2,hemlock,,20,D,10,1,1,
2011,S,11.1,Hemlock,,26.1,L,10.251,,,
2011,S,11.1,Hemlock,,20.3,L,10.404,,,
2017,O,17.3,hemlock,,28.0,D,10.5,,,
2011,S,11.2,hemlock,,23.7,L,10.8,,,
2009,S,9.1,Hemlock,,18.3,L,11.25,,,
2011,S,11.3,Hemlock,,27.0,L,11.4,,,
2011,O,11.1,Hemlock,,30.0,L,11.47,,,
2011,O,11.1,Hemlock,,17.6,L,11.858,,,
2020,old forest,20.2,hemlock,,19.6,D,12,1,1,
2009,S,9.1,Hemlock,,32.0,L,12.75,,,
2011,S,11.1,Hemlock,,35.9,L,13.16,,,
2019,old,19.2,hemlock,,25.7,D,13.25,,,
2011,S,11.3,Hemlock,,38.0,L,13.5,,,
2011,S,11.1,Hemlock,,32.3,L,13.938,,,
2009,S,9.1,Hemlock,,24.0,L,13.95,,,
2011,O,11.2,hemlock,,52.0,L,14,,,
2011,S,11.1,Hemlock,,50.4,L,14.1,,,
2011,S,11.3,Hemlock,,33.6,L,14.5,,,
2009,S,9.1,Hemlock,,32.0,L,15,,,
2011,O,11.3,Hemlock,,38.0,L,15,,,
2009,S,9.1,Hemlock,,20.8,L,15.3,,,
2011,O,11.3,Hemlock,,30.2,L,15.4,,,
2009,O,9.3,Hemlock,,30.5,L,16,,,
2017,O,17.2,Hemlock,,25.0,D,16,,,
2011,O,11.1,Hemlock,,33.0,L,16.02,,,
2017,O,17.1,Hemlock,,29.3,D,16.1,,,
2011,O,11.3,Hemlock,,48.5,L,16.4,,,
2011,O,11.1,Hemlock,,29.2,L,16.8,,,
2009,S,9.1,Hemlock,,21.8,L,17.25,,,
2011,O,11.3,Hemlock,,42.4,L,17.5,,,
2009,S,9.1,Hemlock,,21.3,L,17.55,,,
2009,S,9.1,Hemlock,,34.0,L,18.6,,,
2009,O,9.1,Hemlock,,15.8,L,19.35,,,
2011,O,11.1,Hemlock,,36.0,L,20.55,,,
2009,O,9.1,Hemlock,,50.3,L,20.55,,,
2011,O,11.1,Hemlock,,35.3,L,21.098,,,
2009,S,9.1,Hemlock,,16.0,L,21.75,,,
2011,O,11.1,Hemlock,,40.0,L,22.26,,,
