Site (H/C),Plot #,Genus,"Substrate (G, L, P, M)",Sapling count,Seedling count,Notes,,
C,21,Maple,P,-,-,,,
C,21,Maple,M,-,-,,,
C,21,Oak,G,-,11,,,
C,21,Oak,L,-,-,,,
C,21,Oak,P,-,-,,,
C,21,Oak,M,-,-,,,
C,31,Birch,G,4,25,,,
C,31,Birch,L,,4,,,
C,31,Birch,P,,,,,
C,31,Birch,M,,,,,
C,31,Pine,G,7,76,,,
C,31,Pine,L,,3,,,
C,31,Pine,P,,,,,
C,31,Pine,M,,,,,
C,31,Oak,G,,83,,,
C,31,Oak,L,,8,,,
C,31,Oak,P,,,,,
C,31,Oak,M,,,,,
C,31,Hickory,G,,6,,,
C,31,Hickory,L,,,,,
C,31,Hickory,P,,,,,
C,31,Hickory,M,,,,,
C,31,Maple,G,4,81,,,
C,31,Maple,L,,9,,,
C,31,Maple,P,,,,,
C,31,Maple,M,,3,,,
C,31,Beech,G,,,,,
C,31,Beech,L,,,,,
C,31,Beech,P,,,,,
C,31,Beech,M,,,,,
C,201,beech,g,1,,,,
C,201,hornbeam,g,15,,,,
C,201,hornbeam,g,,14,,,
C,201,beech,g,,8,,,
C,202,birch,g,,17,,,
C,202,maple,g,,17,,,
C,202,maple,g,5,,,,
C,202,pine,g,1,,,,
C,202,pine,g,,6,,,
C,203,Maple,P,1,0,,,
C,203,Pine,G,1,0,,,
C,203,Birch,G,12,0,,,
C,203,Maple,G,10,0,,,
C,203,Hickory,G,1,0,,,
C,203,Oak,G,1,0,,,
C,204,Birch,G,8,0,,,
C,204,Birch,M,1,0,,,
C,204,Maple,G,3,0,,,
C,204,Birch,G,0,22,,,
C,204,Maple,G,0,15,,,
C,204,Oak,G,0,4,,,
